Description,Class,Starting Amine,Family,Oxide,Moles Ox
ADSEE 4130 BULK,Etho,TMD,TMD,EO,14
ARMOSTAT 300 BULK,Etho,TDC,TDC,EO,2
ARMOSTAT 400 BULK,Etho,CD,CD,EO,2
ARMOSTAT 410 LM BULK,Etho,CD,CD,EO,2
ARMUL HE 5070 BULK,Butyl Carbitol,BUTYL CELLOSOLVE ,But Carb,EO,2
BEROL 260 BULK,Alcohol-BF3,Alcohol-BF3,Alcohol-BF3,EO,4
BEROL 266 BULK,Alcohol-BF3,Alcohol-BF3,Alcohol-BF3,EO,6
BEROL 266V BULK,Alcohol-BF3,Alcohol-BF3,Alcohol-BF3,EO,6
BEROL 467 BULK,Etho,TMD,TMD,EO,15
BEROL OX 91-6 BULK,Alcohol C9-C11,Alcohol C9-C11 ,Alcohol,EO,6
C-5635 BULK,TMPs,TMP-420,TMP,MO,82
C-6290 BULK,Etho,TMD,TMD,EO,20
C-6385 BULK,Etho,TMD,TMD,EO,20
C-6427 BULK,Others,ISOSTEARYL ALCOHOL DR,Isostearyl Alc,MO,10
EMULPON CO-200 BULK,Castor Oil,CASTOR OIL,CO,EO,36
EMULPON CO-360 BULK,Castor Oil,CASTOR OIL,CO,EO,53
EMULPON CO-550 BULK,Castor Oil,CASTOR OIL,CO,EO,68
ETHODUOMEEN HT/13 BULK,Etho,HT,HT,EO,3
ETHODUOMEEN T/13 BULK,Etho,E-9,Duom,EO,3
ETHODUOMEEN T/13N BULK,Etho,E-9,Duom,EO,15
ETHODUOMEEN T/20 BULK,Etho,E-9,Duom,EO,10
ETHODUOMEEN T/25 BULK,Etho,E-9,Duom,EO,16
ETHOFAT 242/25 BULK,Others,SYLVATAL D40 DR,Sylvatal,EO,55
ETHOMEEN C/12S BULK,Etho,CD,CD,EO,2
ETHOMEEN 18/12 BULK,Etho,18D,18D,EO,2
ETHOMEEN 18/25 BULK,Etho,18D,18D,EO,16
ETHOMEEN C/12 BULK,Etho,CD,CD,EO,2
ETHOMEEN C/12 M BULK,Etho,C UN,C UN,EO,2
ETHOMEEN C/12 SUN BULK,Etho,CD UN,CD UN,EO,2
ETHOMEEN C/12 UN BULK,Etho,CD UN,CD UN,EO,2
ETHOMEEN C/15 BULK,Etho,CD,CD,EO,5
ETHOMEEN C/17 BULK,Etho,CD,CD,EO,7
ETHOMEEN C/25A BULK,Etho,CD,CD,EO,15
ETHOMEEN C/25A S BULK,Etho,CD,CD,EO,2
ETHOMEEN O/12LC BULK,Etho,OLD C,OLD C,EO,2
ETHOMEEN SV/12 BULK,Etho,SVD,SVD,EO,2
ETHOMEEN SV/15 BULK,Etho,SVD,SVD,EO,5
ETHOMEEN SV/15C BULK,Etho,SVD,SVD,EO,5
ETHOMEEN SV/25 BULK,Etho,SVD,SVD,EO,15
ETHOMEEN T/12 BULK,Etho,TMD,TMD,EO,2
ETHOMEEN T/13.5 BULK,Etho,TMD,TMD,EO,3.5
ETHOMEEN T/15 BULK,Etho,TMD,TMD,EO,5
ETHOMEEN T/17 BULK,Etho,TMD,TMD,EO,7
ETHOMEEN T/18 BULK,Etho,TMD,TMD,EO,8
ETHOMEEN T/19 BULK,Etho,TMD,TMD,EO,10
ETHOMEEN T/20 BULK,Etho,TMD,TMD,EO,11
ETHOMEEN T/20S BULK,Etho,TMD,TMD,EO,11
ETHOMEEN T/24 BULK,Etho,TMD,TMD,EO,14
ETHOMEEN T/25 BULK,Etho,TMD,TMD,EO,16
ETHOMEEN T/28 BULK,Etho,TMD,TMD,EO,16
ETHYLAN 1008 SA BULK,PPH,Propyl Heptanol,PPH,EO,8
ETHYLAN 325 BULK,DPG,WITCONOL PD-3000,DPG,EO,67
ETHYLAN NS-500LQ BULK,Butyl Carbitol,ETHYLAN PRE NS-505 K,But Carb,MO,88
ETHYLAN PRE NS-505 K BULK,Butyl Carbitol,BUTYL CARBITOL (TOTES),But Carb,PO,12
ETHYLAN SN-90 BULK,Alcohol C10-12,Ethoxylated C10-12,Alcohol,EO,3.5
ETHYLAN TD-100 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,10
ETHYLAN TD-120 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,12
ETHYLAN TD-1407 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,14
ETHYLAN TD-40 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,4
ETHYLAN TD-60 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,6
INTERMEDIATE BE-110L BULK,Butyl Carbitol,ETHYLAN PRE NS-505 K,But Carb,MO,95
INTERMEDIATE DPG-415 BULK,DPG,WITCONOL PD-2000,DPG,MO,19
PROPODUOMEEN T/12 BULK,Propo,Duomeen T,Duom,PO,2
PROPOMEEN T/12 BULK,Propo,TMD,TMD,PO,2
TMP-420 BULK,TMPs,TMP-80,TMP,PO,29
TMP-80 BULK,TMPs,TRIMETHYLOPROPANE,TMP,PO,7
VISCO 352 BULK,DEPH,DOWANOL EPH DR,Dowanol EPH,EO,3
WITBREAK DPG-25 BULK,DPG,WITCONOL PD-2000,DPG,EO,8
WITBREAK DPG-482 BULK,Glycerine,ETHYLAN PT-3000,Glycerine,MO,64
WITBREAK DPG-818 BULK,Glycerine,ETHYLAN PT-3000,Glycerine,MO,94
WITBREAK DTG-62 BULK,TMPs,TMP-420 TOTE,TMP,MO,140
WITCOMUL 1844 BULK,Nonyl Phenol,WITCONOL NP-20 DR,NP,EO,22
WITCONOL 2690 BULK,Nonyl Phenol,WITCONOL NS-108PO,NP,MO,44
ETHYLAN 324 BULK,DPG,WITCONOL PD-2000,DPG,MO,72
WITCONOL NP-120 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,22
WITCONOL NP-130 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,12
WITCONOL NP-20 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,13
WITCONOL NP-330 BULK,Nonyl Phenol,Ethoxylated Nonyl Phenol,NP Ethox,MO,2
WITCONOL NP-40 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,29
WITCONOL NP-60 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,4
WITCONOL NP-80 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,6
WITCONOL NP-90 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,8
WITCONOL NS-108 PO BULK,Nonyl Phenol,NONYL PHENOL,NP,PO,9
WITCONOL NS-505K BULK,Butyl Carbitol,ETHYLAN PRE NS-505 K,But Carb,MO,100
WITCONOL NS-817 BULK,Glycerine,ETHYLAN PT-3000,Glycerine,MO,86
WITCONOL PD-375 BULK,DPG,DIPROPYLENE GLYCOL,DPG,PO,4
WITCONOL PD-4085 BULK,DPG,Propoxylated Diproylene Glycol,DPG,PO,136
WITCONOL PD-500 BULK,DPG,DIPROPYLENE GLYCOL,DPG,PO,6
WITCONOL PEG-200 BULK,DEG,ETHYLENE GLYCOL,DEG,EO,3
WITCONOL PEG-400 BULK,DEG,DIETHYLENE GLYCOL,DEG,EO,7
WITCONOL PEG-500 BULK,DEG,DIETHYLENE GLYCOL,DEG,EO,10
WITCONOL PEG-600 BULK,DEG,DIETHYLENE GLYCOL,DEG,EO,11
WITCONOL PH-70 BULK,DEPH,DOWANOL EPH DR,Dowanol EPH,EO,5
WITCONOL SN-50 BULK,Alcohol C10-12,ALCOHOL C10-12,Alcohol,EO,3
WITCONOL SN-70 BULK,Alcohol C10-12,ALCOHOL C10-12,Alcohol,EO,2
REDICOTE E-47 NPF BULK,Alcohol C10-12,ALCOHOL C10-12,Alcohol,EO,2
EMULPON CO-25 BULK,Castor Oil,CASTOR OIL,CO,EO,25
EMULPON CO-30 BULK,Castor Oil,CASTOR OIL,CO,EO,30
EMULPON CO-40 BULK,Castor Oil,CASTOR OIL,CO,EO,40
EMULPON CO-36 BULK,Castor Oil,CASTOR OIL,CO,EO,36
REDICOTE E-4819 BULK,Alcohol C10-12,ALCOHOL C10-12,Alcohol,EO,2
ETHYLAN 1005 SA  BULK,Alcohol-BF3,Alcohol-BF3,Alcohol-BF3,EO,4
ETHODUOMEEN T/15 BULK,Etho,E-9,Duom,EO,5
C-6442 BULK,Etho,TMD,TMD,EO,11
ETHODUOMEEN T/25  BULK,Etho,E-9,Duom,EO,15
WITCONOL PD-2000 BULK,DPG,WITCONOL PD-500,DPG,PO,
BEROL 347 BULK,Glycerine,,,,
ETHYLAN PT-3000 BULK,Glycerine,ETHYLAN PT-3000,Glycerine,EO,
ETHYLAN HB4/BULK,DEPH,DOWANOL EPH DR,Dowanol EPH,EO,3
ADSEE AB 600 BULK,Etho,TMD,TMD,MO,"12 PO, 5 EO"
WITCONOL PT-320  BULK,Glycerine,Glycerine,Glycerine,PO,4
ETHYLAN DA-3 BULK,Alcohol C10,Alcohol C10,Alcohol,EO,3
ETHOMEEN O/12 BULK,Etho,OLD C,OLD C,EO,2
WITCONOL PT-1000 BULK,DEG,DIETHYLENE GLYCOL,DEG,PO,11.7
