Description,Class,Starting Amine,Family,Oxide,Moles Ox,Category
ADSEE 4130 BULK,Etho,TMD,TMD,EO,14,TAE MM
ARMOSTAT 300 BULK,Etho,TDC,TDC,EO,2,TAE 2M
ARMOSTAT 400 BULK,Etho,CD,CD,EO,2,CD 2M
ARMOSTAT 410 LM BULK,Etho,CD,CD,EO,2,CD 2M
ARMUL HE 5070 BULK,Butyl Carbitol,BUTYL CELLOSOLVE ,But Carb,EO,2,2M
BEROL 260 BULK,Alcohol-BF3,Alcohol-BF3,Alcohol-BF3,EO,4,Berol
BEROL 266 BULK,Alcohol-BF3,Alcohol-BF3,Alcohol-BF3,EO,6,Berol
BEROL 266V BULK,Alcohol-BF3,Alcohol-BF3,Alcohol-BF3,EO,6,Berol
BEROL 467 BULK,Etho,TMD,TMD,EO,15,TMD MM
BEROL OX 91-6 BULK,Alcohol C9-C11,Alcohol C9-C11 ,Alcohol,EO,6,Alc
C-5635 BULK,TMPs,TMP-420,TMP,MO,82,TMP MM
C-6290 BULK,Etho,TMD,TMD,EO,20,TMD MM
C-6385 BULK,Etho,TMD,TMD,EO,20,TMD MM
C-6427 BULK,Others,ISOSTEARYL ALCOHOL DR,Isostearyl Alc,MO,10,Alc
EMULPON CO-200 BULK,Castor Oil,CASTOR OIL,CO,EO,36,CO MM
EMULPON CO-360 BULK,Castor Oil,CASTOR OIL,CO,EO,53,CO MM
EMULPON CO-550 BULK,Castor Oil,CASTOR OIL,CO,EO,68,CO MM
ETHODUOMEEN HT/13 BULK,Etho,HT,HT,EO,3,HT
ETHODUOMEEN T/13 BULK,Etho,E-9,Duom,EO,3,E-9
ETHODUOMEEN T/13N BULK,Etho,E-9,Duom,EO,15,E-9
ETHODUOMEEN T/20 BULK,Etho,E-9,Duom,EO,10,E-9
ETHODUOMEEN T/25 BULK,Etho,E-9,Duom,EO,16,E-9
ETHOFAT 242/25 BULK,Others,SYLVATAL D40 DR,Sylvatal,EO,55,Others
ETHOMEEN C/12S BULK,Etho,CD,CD,EO,2,CD 2M
ETHOMEEN 18/12 BULK,Etho,18D,18D,EO,2,18D 2M
ETHOMEEN 18/25 BULK,Etho,18D,18D,EO,16,18D MM
ETHOMEEN C/12 BULK,Etho,CD,CD,EO,2,CD 2M
ETHOMEEN C/12 M BULK,Etho,C UN,C UN,EO,2,CD 2M
ETHOMEEN C/12 SUN BULK,Etho,CD UN,CD UN,EO,2,CD 2M
ETHOMEEN C/12 UN BULK,Etho,CD UN,CD UN,EO,2,CD 2M
ETHOMEEN C/15 BULK,Etho,CD,CD,EO,5,CD MM
ETHOMEEN C/17 BULK,Etho,CD,CD,EO,7,CD MM
ETHOMEEN C/25A BULK,Etho,CD,CD,EO,15,CD MM
ETHOMEEN C/25A S BULK,Etho,CD,CD,EO,2,CD MM
ETHOMEEN O/12LC BULK,Etho,OLD C,OLD C,EO,2,TAE 2M
ETHOMEEN SV/12 BULK,Etho,SVD,SVD,EO,2,SVD 2M
ETHOMEEN SV/15 BULK,Etho,SVD,SVD,EO,5,SVD MM
ETHOMEEN SV/15C BULK,Etho,SVD,SVD,EO,5,SVD MM
ETHOMEEN SV/25 BULK,Etho,SVD,SVD,EO,15,SVD MM
ETHOMEEN T/12 BULK,Etho,TMD,TMD,EO,2,TAE 2M
ETHOMEEN T/13.5 BULK,Etho,TMD,TMD,EO,3.5,TAE MM
ETHOMEEN T/15 BULK,Etho,TMD,TMD,EO,5,TAE MM
ETHOMEEN T/17 BULK,Etho,TMD,TMD,EO,7,TAE MM
ETHOMEEN T/18 BULK,Etho,TMD,TMD,EO,8,TAE MM
ETHOMEEN T/19 BULK,Etho,TMD,TMD,EO,10,TAE MM
ETHOMEEN T/20 BULK,Etho,TMD,TMD,EO,11,TAE MM
ETHOMEEN T/20S BULK,Etho,TMD,TMD,EO,11,TAE MM
ETHOMEEN T/24 BULK,Etho,TMD,TMD,EO,14,TAE MM
ETHOMEEN T/25 BULK,Etho,TMD,TMD,EO,16,TAE MM
ETHOMEEN T/28 BULK,Etho,TMD,TMD,EO,16,TAE MM
ETHYLAN 1008 SA BULK,PPH,Propyl Heptanol,PPH,EO,8,PPH
ETHYLAN 325 BULK,DPG,WITCONOL PD-3000,DPG,EO,67,DPG EO MM
ETHYLAN NS-500LQ BULK,Butyl Carbitol,ETHYLAN PRE NS-505 K,But Carb,MO,88,But Carb
ETHYLAN PRE NS-505 K BULK,Butyl Carbitol,BUTYL CARBITOL (TOTES),But Carb,PO,12,But Carb
ETHYLAN SN-90 BULK,Alcohol C10-12,Ethoxylated C10-12,Alcohol,EO,3.5,Alc
ETHYLAN TD-100 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,10,TDA
ETHYLAN TD-120 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,12,TDA
ETHYLAN TD-1407 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,14,TDA
ETHYLAN TD-40 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,4,TDA
ETHYLAN TD-60 BULK,TDA,ALCOHOL TRIDECYL,TDA,EO,6,TDA
INTERMEDIATE BE-110L BULK,Butyl Carbitol,ETHYLAN PRE NS-505 K,But Carb,MO,95,But Carb
INTERMEDIATE DPG-415 BULK,DPG,WITCONOL PD-2000,DPG,MO,19,DPG MO MM
PROPODUOMEEN T/12 BULK,Propo,Duomeen T,Duom,PO,2,E-9 PO 2M
PROPOMEEN T/12 BULK,Propo,TMD,TMD,PO,2,TMD PO 2M
TMP-420 BULK,TMPs,TMP-80,TMP,PO,29,TMP PO MM
TMP-80 BULK,TMPs,TRIMETHYLOPROPANE,TMP,PO,7,TMP PO MM
VISCO 352 BULK,DEPH,DOWANOL EPH DR,Dowanol EPH,EO,3,EPH EO MM
WITBREAK DPG-25 BULK,DPG,WITCONOL PD-2000,DPG,EO,8,DPG EO MM
WITBREAK DPG-482 BULK,Glycerine,ETHYLAN PT-3000,Glycerine,MO,64,GLYC MO MM
WITBREAK DPG-818 BULK,Glycerine,ETHYLAN PT-3000,Glycerine,MO,94,GLYC MO MM
WITBREAK DTG-62 BULK,TMPs,TMP-420 TOTE,TMP,MO,140,TMP PO MM
WITCOMUL 1844 BULK,Nonyl Phenol,WITCONOL NP-20 DR,NP,EO,22,Alc
WITCONOL 2690 BULK,Nonyl Phenol,WITCONOL NS-108PO,NP,MO,44,MM
ETHYLAN 324 BULK,DPG,WITCONOL PD-2000,DPG,MO,72,DPG MO MM
WITCONOL NP-120 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,22,Alc
WITCONOL NP-130 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,12,Alc
WITCONOL NP-20 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,13,Alc
WITCONOL NP-330 BULK,Nonyl Phenol,Ethoxylated Nonyl Phenol,NP Ethox,MO,2,Alc
WITCONOL NP-40 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,29,Alc
WITCONOL NP-60 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,4,Alc
WITCONOL NP-80 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,6,Alc
WITCONOL NP-90 BULK,Nonyl Phenol,NONYL PHENOL,NP,EO,8,Alc
WITCONOL NS-108 PO BULK,Nonyl Phenol,NONYL PHENOL,NP,PO,9,Alc
WITCONOL NS-505K BULK,Butyl Carbitol,ETHYLAN PRE NS-505 K,But Carb,MO,100,But Carb
WITCONOL NS-817 BULK,Glycerine,ETHYLAN PT-3000,Glycerine,MO,86,GLYC MO MM
WITCONOL PD-375 BULK,DPG,DIPROPYLENE GLYCOL,DPG,PO,4,DPG PO MM
WITCONOL PD-4085 BULK,DPG,Propoxylated Diproylene Glycol,DPG,PO,136,DPG PO MM
WITCONOL PD-500 BULK,DPG,DIPROPYLENE GLYCOL,DPG,PO,6,DPG PO MM
WITCONOL PEG-200 BULK,DEG,ETHYLENE GLYCOL,DEG,EO,3,DEG EO MM
WITCONOL PEG-400 BULK,DEG,DIETHYLENE GLYCOL,DEG,EO,7,DEG EO MM
WITCONOL PEG-500 BULK,DEG,DIETHYLENE GLYCOL,DEG,EO,10,DEG EO MM
WITCONOL PEG-600 BULK,DEG,DIETHYLENE GLYCOL,DEG,EO,11,DEG EO MM
WITCONOL PH-70 BULK,DEPH,DOWANOL EPH DR,Dowanol EPH,EO,5,EPH EO MM
WITCONOL SN-50 BULK,Alcohol C10-12,ALCOHOL C10-12,Alcohol,EO,3,Alc
WITCONOL SN-70 BULK,Alcohol C10-12,ALCOHOL C10-12,Alcohol,EO,2,Alc
REDICOTE E-47 NPF BULK,Alcohol C10-12,ALCOHOL C10-12,Alcohol,EO,2,Alc
EMULPON CO-25 BULK,Castor Oil,CASTOR OIL,CO,EO,25,CO MM
EMULPON CO-30 BULK,Castor Oil,CASTOR OIL,CO,EO,30,CO MM
EMULPON CO-40 BULK,Castor Oil,CASTOR OIL,CO,EO,40,CO MM
EMULPON CO-36 BULK,Castor Oil,CASTOR OIL,CO,EO,36,CO MM
REDICOTE E-4819 BULK,Alcohol C10-12,ALCOHOL C10-12,Alcohol,EO,2,Alc
ETHYLAN 1005 SA  BULK,Alcohol-BF3,Alcohol-BF3,Alcohol-BF3,EO,4,Berol
ETHODUOMEEN T/15 BULK,Etho,E-9,Duom,EO,5,E-9
C-6442 BULK,Etho,TMD,TMD,EO,11,TAE MM
ETHODUOMEEN T/25  BULK,Etho,E-9,Duom,EO,15,E-9
WITCONOL PD-2000 BULK,DPG,WITCONOL PD-500,DPG,PO,,DPG PO MM
BEROL 347 BULK,Glycerine,,,,,
